id	English	Japanese	QA - Pass /Fail	Comments	Russian	QA - Pass /Fail	Comments	ChineseSimplified	QA - Pass /Fail	Comments	ChineseTraditional	QA - Pass /Fail	Comments	Korean	QA - Pass /Fail	Comments
string	string	string	Not Checked		string	Not Checked		chinese	Not Checked		chinese	Not Checked		string	Not Checked	
gdpr.dlg1.title	Make <title_name> better and stay free!	<title_name>を無料のまま、より良くしましょう！			Делайте <title_name> лучше и продолжайте играть бесплатно!			让<title_name>变得更好并保持免费！			優化<title_name>，免費玩！			<title_name>을(를) 더 좋게 만들고 계속 무료로 이용하세요!		
gdpr.dlg1.text.full	Hi! We hope you are excited to play <title_name>.  Before you get started, we want to let you know that upon getting your consent, we’re going to improve our game with your data. Specifically, we will be using your data to optimize the gameplay mechanics, performance, and relevant advertising. 	こんにちは！弊社ゲームをワクワク試していただけますように！ 開始する前にお知らせしたいことがあります。同意を得られましたら、お使いの端末のデータをゲームの改良に役立てたいと考えています。具体的には、お使いの端末のデータをもとに、ゲームプレイの構造やアプリケーションの安定性を最適化したり、より関心に合う広告を表示させます。関心に合う広告が表示されると、ゲーム内の通貨をより多くゲットできます。  プレイ・ご支援ありがとうございます。データの共有を希望されない場合には、後でいつでも設定を変更することもできます。			Привет! Надеемся, что ты с радостью попробуешь нашу игру!  Прежде чем ты начнешь, мы хотели бы сообщить, что после получения твоего согласия мы собираемся улучшить нашу игру при помощи данных с твоего устройства. В частности, мы будем использовать данные твоего устройства для оптимизации механики игрового процесса, улучшения стабильности приложения и показа релевантной рекламы, которая даст тебе больше игровой валюты.  Спасибо за игру и за то, что нам помогаешь. Если ты не хочешь делиться своими данными, ты всегда можешь изменить настройки позже.			嘿！我们希望您乐意尝试我们的游戏！  在开始之前，我们想让您知道，在获得您同意的情况下，我们将利用您的设备数据来改进我们的游戏。具体地说，我们将利用您的设备数据来优化游戏机制、应用程序稳定性以及相关广告（可让您获取更多游戏内货币）展示。  感谢您玩我们的游戏，帮助我们解决问题。如果您不想共享您的数据，以后也可以随时调整您的设置。			嘿！希望您現在很興奮地想試試我們的遊戲！  在開始之前，我們想讓您知道並先取得您的同意：我們將使用您的設備數據來改善遊戲。具體來說，您的設備數據，將被我們用來最佳化遊戲機制、應用程式穩定性，並為您帶來更多能獲得遊戲貨幣的相關廣告展示。  感謝您的遊玩與協助，如果您對分享數據沒有興趣，之後也能隨時在您的設定中調整。			안녕하세요! 신나게 저희 게임을 해 보셨으면 해요!  가시기 전에, 알려드리고 싶은 게 있어요. 동의를 전제로 귀하의 장치 데이터로 저희 게임을 향상시키고 싶습니다. 특히, 저희는 게임 플레이 역학, 어플리케이션 안정성을 최적화하기 위해 귀하의 장치 데이터를 사용할 것이며, 귀하에게 게임 내 통화를 더 많이 드릴 수 있는 관련 광고를 보여 드릴 것입니다.  플레이해 주시고 도와주셔서 감사합니다. 데이터 공유에 관심이 없으시면, 나중에 설정을 언제든 조정하실 수 있습니다.		
gdpr.dlg1.text.1 (merged into full)	Hi! We hope you are excited to play <title_name>.	こんにちは！弊社ゲームをワクワク試していただけますように！	Not Checked		Привет! Надеемся, что ты с радостью попробуешь нашу игру!	Not Checked		嘿！我们希望您乐意尝试我们的游戏！	Not Checked		嘿！希望您現在很興奮地想試試我們的遊戲！	Not Checked		안녕하세요! 신나게 저희 게임을 해 보셨으면 해요!	Not Checked	
gdpr.dlg1.text.2 (merged into full)	Before you get started, we want to let you know that upon getting your consent, we’re going to improve our game with your data. 	開始する前にお知らせしたいことがあります。同意を得られましたら、お使いの端末のデータをゲームの改良に役立てたいと考えています。具体的には、お使いの端末のデータをもとに、ゲームプレイの構造やアプリケーションの安定性を最適化したり、より関心に合う広告を表示させます。関心に合う広告が表示されると、ゲーム内の通貨をより多くゲットできます。			Прежде чем ты начнешь, мы хотели бы сообщить, что после получения твоего согласия мы собираемся улучшить нашу игру при помощи данных с твоего устройства. В частности, мы будем использовать данные твоего устройства для оптимизации механики игрового процесса, улучшения стабильности приложения и показа релевантной рекламы, которая даст тебе больше игровой валюты.			在开始之前，我们想让您知道，在获得您同意的情况下，我们将利用您的设备数据来改进我们的游戏。具体地说，我们将利用您的设备数据来优化游戏机制、应用程序稳定性以及相关广告（可让您获取更多游戏内货币）展示。			在開始之前，我們想讓您知道並先取得您的同意：我們將使用您的設備數據來改善遊戲。具體來說，您的設備數據，將被我們用來最佳化遊戲機制、應用程式穩定性，並為您帶來更多能獲得遊戲貨幣的相關廣告展示。			가시기 전에, 알려드리고 싶은 게 있어요. 동의를 전제로 귀하의 장치 데이터로 저희 게임을 향상시키고 싶습니다. 특히, 저희는 게임 플레이 역학, 어플리케이션 안정성을 최적화하기 위해 귀하의 장치 데이터를 사용할 것이며, 귀하에게 게임 내 통화를 더 많이 드릴 수 있는 관련 광고를 보여 드릴 것입니다.		
gdpr.dlg1.text.3 (merged into full)	Specifically, we will be using your data to optimize the gameplay mechanics, performance, and relevant advertising. 	プレイ・ご支援ありがとうございます。データの共有を希望されない場合には、後でいつでも設定を変更することもできます。			Спасибо за игру и за то, что нам помогаешь. Если ты не хочешь делиться своими данными, ты всегда можешь изменить настройки позже.			感谢您玩我们的游戏，帮助我们解决问题。如果您不想共享您的数据，以后也可以随时调整您的设置。			感謝您的遊玩與協助，如果您對分享數據沒有興趣，之後也能隨時在您的設定中調整。			플레이해 주시고 도와주셔서 감사합니다. 데이터 공유에 관심이 없으시면, 나중에 설정을 언제든 조정하실 수 있습니다.		
gdpr.manage.settings	Manage Data Settings	データ設定を管理			Управление настройками данных			管理数据设置			管理數據設定			데이터 설정 관리		
gdpr.next	Next	次			Далее			下一步			下一步			다음		
gdpr.dlg2.title	How your data makes <title_name> better	<title_name>の改良のためのデータの利用法			Как твои данные делают <title_name> лучше			您的数据如何让 <title_name> 变得更好			您的數據能如何讓 <title_name> 變得更好			귀하의 데이터가 더 나은 <title_name> 를 만드는 방법		
gdpr.dlg2.text.2	Thanks for learning more.  Here’s what sharing your data will help us do:	ここまでお越しくださりありがとうございます！データを共有していただけますと、次のような形で弊社はサービスと製品の向上が可能となります。			Спасибо, что пришел! Твои данные помогут нам:			感谢您来这儿。以下是共享您的数据会帮助我们做的事情：			謝謝您來到這裡！分享您的數據將有助於我們做到下列事項：			여기 와 주셔서 감사합니다! 데이터 공유를 통해 얻을 수 있는 이점:		
